Year,Month,APC,MPC,Index Numbers,  General Index,Weight
2019,Jan,-0.20,0.20,102.60,105.90,6.74
2019,Feb,-0.70,-0.40,102.20,105.70,6.74
2019,Mar,-0.40,0.20,102.40,105.60,6.74
2019,Apr,-0.30,0.10,102.50,105.60,6.74
2019,May,0.00,0.20,102.70,105.70,6.74
2019,Jun,-0.20,-0.10,102.60,105.90,6.74
2019,Jul,0.80,0.80,103.50,106.00,6.74
2019,Aug,1.40,0.60,104.00,106.10,6.74
2019,Sept,1.30,0.00,104.00,106.30,6.74
2019,Oct,1.90,0.20,104.30,106.50,6.74
2019,Nov,1.90,0.10,104.40,106.40,6.74
2019,Dec,1.80,-0.10,104.30,106.50,6.74
2020,Jan,1.50,-0.10,100.00,98.40,6.74
2020,Feb,1.10,-0.10,99.90,98.70,6.74
2020,Mar,1.20,0.30,100.26,98.83,6.74
2020,Apr,1.30,0.20,100.51,98.71,6.74
2020,May,1.40,-0.20,100.30,98.50,6.74
2020,Jun,1.40,0.00,100.34,98.20,6.74
2020,Jul,8.50,7.30,107.69,103.96,6.74
2020,Aug,8.40,0.30,108.06,104.20,6.74
2020,Sept,8.30,0.30,107.78,104.03,6.74
2020,Oct,8.10,0.20,108.00,104.10,6.74
2020,Nov,7.60,-0.40,107.53,104.00,6.74
2020,Dec,7.50,0.00,107.55,103.77,6.74
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,